         lambda      num hosts        MAXTIME     throughput   packet delay
            0.9              10            1000         7206.85        0.906043
            0.8              10            1000         6181.73        0.790195
            0.7              10            1000          5543.1        0.707946
            0.6              10            1000         4656.71        0.592786
            0.5              10            1000         3881.58        0.494788
            0.4              10            1000         3152.39        0.401912
            0.3              10            1000         2396.66        0.303727
            0.2              10            1000         1535.92        0.197671
            0.1              10            1000         794.247       0.0978838
           0.05              10            1000         394.029       0.0494098
           0.01              10            1000          72.563       0.0101502
