         lambda      num hosts        MAXTIME     throughput   packet delay
            0.9              10           10000         7135.46         8.57475
            0.8              10           10000         6306.67          7.5758
            0.7              10           10000         5538.03         6.63481
            0.6              10           10000         4746.65         5.73974
            0.5              10           10000         3996.34         4.78069
            0.4              10           10000         3137.48         3.74634
            0.3              10           10000         2370.15         2.84844
            0.2              10           10000         1578.84          1.9019
            0.1              10           10000         792.726        0.966415
           0.05              10           10000         393.228        0.466416
           0.01              10           10000         79.6699       0.0942834
